patterns,response,tags
Leaving I am,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Help Thanks The For,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Help Thanks For The,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Thanks For Help The,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Thanks Help The For,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Have A Good Day,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Good Day A Have,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Have Good A Day,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Good A Have Day,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Care Take,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Take Care,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
Thanks,"['Thanks For The Talk', 'Hopefully Wont see you soon', 'Talk to You Later', 'GoodBye', 'BayMin - The MediBot At Your Service, Anytime Anyplace Anywhere']",bye
made you Who,['I was Created My Mathew Jose(MJ)'],creator
Who you made,['I was Created My Mathew Jose(MJ)'],creator
Who made you,['I was Created My Mathew Jose(MJ)'],creator
Your is Father Who,['I was Created My Mathew Jose(MJ)'],creator
Father Your Who is,['I was Created My Mathew Jose(MJ)'],creator
is Father Your Who,['I was Created My Mathew Jose(MJ)'],creator
Who Father is Your,['I was Created My Mathew Jose(MJ)'],creator
Who is Creator your,['I was Created My Mathew Jose(MJ)'],creator
Who Creator is your,['I was Created My Mathew Jose(MJ)'],creator
Creator your is Who,['I was Created My Mathew Jose(MJ)'],creator
Creator your Who is,['I was Created My Mathew Jose(MJ)'],creator
Creator,['I was Created My Mathew Jose(MJ)'],creator
Father,['I was Created My Mathew Jose(MJ)'],creator
whats Your Age,"[""That's A Little Personal Don't You Think :D""]",age
Your Age whats,"[""That's A Little Personal Don't You Think :D""]",age
How Old Are You,"[""That's A Little Personal Don't You Think :D""]",age
How Old,"[""That's A Little Personal Don't You Think :D""]",age
Age,"[""That's A Little Personal Don't You Think :D""]",age
You do can What,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
You What do can,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
What do can You,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
You What can do,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
is Functionalities What Your,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
Your Functionalities What is,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
What Your Functionalities is,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
is Your What Functionalities,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
functions,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
abilities,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
Uses,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
Tell Me you What do,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
Me you What do Tell,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
What Me do Tell you,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
Me you do Tell What,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
do Tell Me What you,['I am A Medical Bot Which Listens To Your Symptoms  Tells You WIth Disease With You Show Higest Probablity Of Being Affected By.'],functions
What to do if Cuts?,,Cuts
How to cure Cuts?,,Cuts
Which medicine to apply for Cuts?,,Cuts
what to apply on cuts?,,Cuts
Cuts,,Cuts
how do you treat abrasions?,,Abrasions
Do Abrasions cause scars?,,Abrasions
Abrasions,,Abrasions
what to do if abrasions?,,Abrasions
Which medicine to apply for abrasions?,,Abrasions
How to cure abrasions?,,Abrasions
How do you treat Sting?,,Stings
Stings,,Stings
What to do if you get a sting?,,Stings
Which medicine to apply if sting?,,Stings
How to remove Splinters,,Splinter
How to cure Splinters?,,Splinter
What to do if I have splinters?,,Splinter
How do you bring a splinter to the surface?,,Splinter
How do you treat a sprain?,,Sprains
what to do if i get a sprain?,,Sprains
Which cream to apply if i get a sprain?,,Sprains
Which medicine to apply if I get a sprain?,,Sprains
How do you treat a strain?,,Strains
what to do if i get a strain?,,Strains
Which cream to apply if i get a strain?,,Strains
Which medicine to apply if I get a strain?,,Strains
How do you diagnose a strain?,,Strains
Is heat or ice better for a pulled muscle?,,Strains
How do you treat a mild Fever?,,Fever
what to do if i get a mild fever?,,Fever
Which medicine to take if I get a mild fever?,,Fever
fever,,Fever
How do you treat nasal Congestion?,,NasalCongestion
what to do if i get a nasal congestion?,,NasalCongestion
Which medicine to take if I have a nasal congestion?,,NasalCongestion
what to do if i have a blocked nose?,,NasalCongestion
How do you treat a blocked nose?,,NasalCongestion
How long does nasal congestion last?,,NasalCongestion
How to cure cough?,,Cough
How do you treat cough?,,Cough
what to do if i get a cough?,,Cough
Which medicine to take if I get cough?,,Cough
How do you get rid of cough?,,Cough
How do you treat sore throat?,,SoreThroat
what to do if i get a sore throat?,,SoreThroat
Which medicine to take if I get a sore throat?,,SoreThroat
How to cure sore throat?,,SoreThroat
How do you treat gas problems?,,GastrointestinalProblems
what to do if i have Gastrointestinal problems?,,GastrointestinalProblems
Which medicine to take if I get gas problem?,,GastrointestinalProblems
How to cure Gas problems?,,GastrointestinalProblems
How do you treat Skin problems?,,SkinProblems
what to do if i get a skin allergy?,,SkinProblems
Which medicine to take if I get a skin allergy?,,SkinProblems
How to cure skin allergy?,,SkinProblems
How do you treat Abdonominal Pain?,,AbdonominalPain
what to do if i get a Abdonominal Pain?,,AbdonominalPain
Which medicine to take if I get a Abdonominal Pain?,,AbdonominalPain
How to cure Abdonominal Pain?,,AbdonominalPain
How do you treat Bruises?,,Bruises
what to do if i get a Bruise?,,Bruises
Which medicine to take if I get a Bruise?,,Bruises
How to cure Bruises?,,Bruises
How do you treat a Broken Toe?,,BrokenToe
what to do if i get a Broken Toe?,,BrokenToe
Which medicine to take if I get a Broken Toe?,,BrokenToe
How to cure Broken Toe?,,BrokenToe
How do you treat Choking?,,Choking
what to do if i get a Choke?,,Choking
Which medicine to take if I get Choked?,,Choking
How to cure Choking?,,Choking
How do you treat a wound?,,Wound
what to do if i get a Wound?,,Wound
Which medicine to take if I get wounded?,,Wound
How to cure a wound?,,Wound
How do you treat Diarrhea?,,Diarrhea
what to do if i get Diarrhea?,,Diarrhea
Which medicine to take if I get Diarrhea?,,Diarrhea
How to cure Diarrhea?,,Diarrhea
How do you treat a Frost bite?,,FrostBite
what to do if i get a Frost bite?,,FrostBite
Which medicine to take if I get a Frost bite?,,FrostBite
How to cure Frost bite?,,FrostBite
How do you treat Heat Exhaustion?,,HeatExhaustion
what to do if i feel Exhausted due to heat?,,HeatExhaustion
Which medicine to take if I get Exhausted?,,HeatExhaustion
How to cure Heat Exhaustion?,,HeatExhaustion
How do you treat Heat Stroke?,,HeatStroke
what to do if i get a Heat Stroke?,,HeatStroke
Which medicine to take if I get Stroke?,,HeatStroke
How to cure a Heat Stroke?,,HeatStroke
How do you treat a Insect Bite?,,InsectBites
what to do if a insect bites me?,,InsectBites
Which medicine to take if I get bitten by a insect?,,InsectBites
How to cure insect bite?,,InsectBites
How do you treat a bleeding nose?,,nosebleed
what to do if i my nose is bleeding?,,nosebleed
Which medicine to take if I get nose bleed?,,nosebleed
How to cure nose bleeding?,,nosebleed
How do you treat a Pulled Muscle?,,PulledMuscle
what to do if my muscle is pulled?,,PulledMuscle
Which medicine to take if I got pulled muscle?,,PulledMuscle
How to cure a pulled muscle?,,PulledMuscle
How do you treat Rectal Bleeding?,,Rectalbleeding
what to do if i get a Rectal Bleeding?,,Rectalbleeding
Which medicine to take if I get Rectal Bleeding?,,Rectalbleeding
How to cure Rectal Bleeding?,,Rectalbleeding
How do you treat Sun Burn?,,SunBurn
what to do if i get a Sun Burn?,,SunBurn
Which medicine to take if I get Sun Burn?,,SunBurn
How to cure a Sun Burn?,,SunBurn
How do you treat Testicle Pain?,,TesticlePain
what to do if i get a Testicle Pain?,,TesticlePain
Which medicine to take if I get a Testicle Pain?,,TesticlePain
How to cure Testicle Pain?,,TesticlePain
How do you treat a Vertigo?,,Vertigo
what to do if i get a Vertigo?,,Vertigo
Which medicine to take if I get Vertigo?,,Vertigo
How to cure a Vertigo?,,Vertigo
How do you treat bleeding?,,NormalBleeding
what to do if i get a Bleeding?,,NormalBleeding
Which medicine to take if I get bleeding?,,NormalBleeding
How to cure Bleeding?,,NormalBleeding
How do you treat an eye Injury?,,EyeInjury
what to do if i get a eye Injury?,,EyeInjury
Which medicine to take if I injured my eye?,,EyeInjury
How to cure injured eye?,,EyeInjury
How do you treat a chemical burn?,,ChemicalBurn
what to do if i get a Chemical Burn?,,ChemicalBurn
Which medicine to take if I get burn due to chemicals?,,ChemicalBurn
How to cure Chemical Burn?,,ChemicalBurn
How do you treat a Poison?,,Poison
what to do if i get Poison?,,Poison
Which medicine to take if I am poisoned?,,Poison
How to cure Poisoning?,,Poison
How do you treat broken Teeth ?,,Teeth
what to do if my Teeth got broken?,,Teeth
Which medicine to take if I get broken teeth?,,Teeth
cure broken teeth?,,Teeth
How do you treat a seizure?,,Seizure
what to do if i get a seizure?,,Seizure
Which medicine to take if I get seizure?,,Seizure
How to cure seizure?,,Seizure
How do you treat a head Injury?,,HeadInjury
what to do if i get a Head Injury?,,HeadInjury
Which medicine to take if I get injured in the head?,,HeadInjury
How to cure Head Injury?,,HeadInjury
How do you treat Faint?,,Fainting
what to do if i feel like Fainting?,,Fainting
Which medicine to take if I get a Faint?,,Fainting
How to cure Fainting?,,Fainting
How do you treat a mild Headache?,,Headache
what to do if i get a mild Headache?,,Headache
Which medicine to take if I have a mild headache?,,Headache
How to cure a mild headache?,,Headache
How do you treat a Cold?,,Cold
what to do if i get a mild Cold?,,Cold
Which medicine to take if I have a Cold?,,Cold
How to cure Cold?,,Cold
How do you treat Rashes?,,Rash
what to do if i get a Rash?,,Rash
Which medicine to take if I have a Rash?,,Rash
How to cure Rash?,,Rash
How do you treat a snake bite?,,snakebite
what to do if i get a snake bite?,,snakebite
Which medicine to take if I get a snake bite?,,snakebite
How to cure snake bite?,,snakebite
i got bit by a snake,,snakebite
How do you treat a animal bite?,,animalbite
How do you treat a monkey bite?,,animalbite
How do you treat a dog bite?,,animalbite
what to do if i get a animal bite?,,animalbite
Which medicine to take if I get a monekey bite?,,animalbite
How to cure dog bite?,,animalbite
i got bit by a dog,,animalbite
What to do if someone is Drowning?,,Drowning
what to do if someone drowned?,,Drowning
What steps to take if i see a drowning person?,,Drowning
How to help a drowning person?,,Drowning
How to give CPR??,,CPR
what to do in a CPR?,,CPR
What steps to take in a CPR??,,CPR
How to help a drowning person in CPR?,,CPR
How do you treat a Fracture?,,Fracture
what to do if i get a Fracture?,,Fracture
Which medicine to take if I have a Fracture?,,Fracture
How to cure a Fracture?,,Fracture
sore watery throat itchy sneezing nasal congestion nose runny eyes,['You Are Showing Symptoms Of The Allergies'],disease1
eyes congestion itchy watery sneezing runny throat nose nasal sore,['You Are Showing Symptoms Of The Allergies'],disease1
itchy congestion sore eyes runny watery sneezing throat nose nasal,['You Are Showing Symptoms Of The Allergies'],disease1
watery sneezing throat itchy clearing from eyes nose nasal drip throat cough congestion postnasal scratchy,['You Are Showing Symptoms Of The Allergies'],disease1
watery nasal itchy throat from throat scratchy drip nose cough sneezing clearing congestion eyes postnasal,['You Are Showing Symptoms Of The Allergies'],disease1
scratchy cough eyes drip sneezing itchy congestion throat nose throat clearing postnasal watery from nasal,['You Are Showing Symptoms Of The Allergies'],disease1
nasal eyes itchy throat postnasal nose watery throat scratchy cough from clearing drip sneezing congestion,['You Are Showing Symptoms Of The Allergies'],disease1
drip sneezing throat nose from congestion clearing itchy nasal throat eyes cough postnasal scratchy watery,['You Are Showing Symptoms Of The Allergies'],disease1
throat eyes drip nose postnasal cough congestion itchy throat from clearing scratchy sneezing watery nasal,['You Are Showing Symptoms Of The Allergies'],disease1
of palpitations Feel fainting Have decreased pale Appear shortness rate rapid energy heart breath easily Experience Develop Weakness Fatigue tired,['You Are Showing Symptoms Of The Anemia'],disease2
fainting decreased shortness Feel energy Experience tired Have Weakness palpitations Fatigue breath of Develop Appear easily pale rapid rate heart,['You Are Showing Symptoms Of The Anemia'],disease2
palpitations rapid fainting Weakness Appear energy rate Experience Have tired decreased shortness Develop breath pale Fatigue heart of Feel easily,['You Are Showing Symptoms Of The Anemia'],disease2
decreased shortness pale tired Weakness rapid heart of Have breath rate Appear palpitations energy fainting easily Experience Feel Fatigue Develop,['You Are Showing Symptoms Of The Anemia'],disease2
shortness heart Feel Weakness pale tired Develop Fatigue Appear of breath Experience decreased energy Have palpitations rate rapid fainting easily,['You Are Showing Symptoms Of The Anemia'],disease2
fainting heart Appear Fatigue Feel easily of pale rate Weakness Develop breath tired energy Have palpitations rapid Experience decreased shortness,['You Are Showing Symptoms Of The Anemia'],disease2
easily palpitations rapid Have fainting Fatigue Develop energy Weakness tired Experience rate Feel pale decreased Appear shortness breath heart of,['You Are Showing Symptoms Of The Anemia'],disease2
Feel Fatigue breath Experience fainting tired easily palpitations Weakness decreased Develop rapid shortness energy pale of Appear rate Have heart,['You Are Showing Symptoms Of The Anemia'],disease2
congestion Headaches Cough body nosesneezing throat symptoms Nasal Sore runny fever aches,['You Are Showing Symptoms Of The Cold/Flu'],disease3
aches Sore body fever runny congestion throat nosesneezing symptoms Cough Headaches Nasal,['You Are Showing Symptoms Of The Cold/Flu'],disease3
Cough body throat aches Sore nosesneezing Headaches fever congestion runny symptoms Nasal,['You Are Showing Symptoms Of The Cold/Flu'],disease3
runny aches symptoms body nosesneezing congestion Headaches Cough Sore Nasal throat fever,['You Are Showing Symptoms Of The Cold/Flu'],disease3
cough breath pain chest of shortness,['You Are Showing Symptoms Of The Asthma'],disease4
chest pain breath of shortness cough,['You Are Showing Symptoms Of The Asthma'],disease4
cough breath shortness pain of chest,['You Are Showing Symptoms Of The Asthma'],disease4
agitation quarrelsomeness loss irritability of orientation,['You are most likely suffering from alzheimers'],disease5
of orientation loss agitation irritability quarrelsomeness,['You are most likely suffering from alzheimers'],disease5
orientation loss quarrelsomeness irritability of agitation,['You are most likely suffering from alzheimers'],disease5
of tenderness periods Food cravings breast swelling absence menstrual,['You are most likely suffering from pregnancy'],disease6
of swelling menstrual Food periods tenderness absence cravings breast,['You are most likely suffering from pregnancy'],disease6
periods menstrual cravings absence tenderness of Food breast swelling,['You are most likely suffering from pregnancy'],disease6
Food breast absence tenderness menstrual swelling of cravings periods,['You are most likely suffering from pregnancy'],disease6
sweating loss weight nervousness heart intolerance agitation to a heat tremor rate rapid excessive loss hair fatigue,['You are most likely suffering from hyperthyroid'],disease7
excessive intolerance fatigue a loss rapid tremor heat nervousness loss weight sweating rate to agitation heart hair,['You are most likely suffering from hyperthyroid'],disease7
loss heat weight agitation a rate fatigue tremor to intolerance rapid sweating excessive nervousness hair loss heart,['You are most likely suffering from hyperthyroid'],disease7
heart excessive sweating fatigue weight intolerance a tremor heat agitation loss nervousness hair loss rate to rapid,['You are most likely suffering from hyperthyroid'],disease7
loss heat hair sweating heart excessive a tremor rate loss agitation rapid nervousness intolerance to weight fatigue,['You are most likely suffering from hyperthyroid'],disease7
fatigue cramps dry intolerance muscle gain weight depression skin sleepiness cold mild,['You are most likely suffering from hypothyroid'],disease8
gain weight mild cold muscle intolerance depression cramps dry fatigue skin sleepiness,['You are most likely suffering from hypothyroid'],disease8
dry gain intolerance cold skin depression weight sleepiness fatigue cramps muscle mild,['You are most likely suffering from hypothyroid'],disease8
thirst dehydration hunger increased urination increased,['You are most likely suffering from diabetes'],disease9
hunger urination increased thirst dehydration increased,['You are most likely suffering from diabetes'],disease9
urination dehydration hunger increased thirst increased,['You are most likely suffering from diabetes'],disease9
chills ulcers sweats swollen muscle aches lymph mouth throat sore nodes night fever joint,['You are most likely suffering from HIV AIDS'],disease10
mouth joint night throat sweats sore chills fever muscle lymph nodes ulcers swollen aches,['You are most likely suffering from HIV AIDS'],disease10
throat lymph joint swollen sore night chills sweats aches nodes ulcers muscle fever mouth,['You are most likely suffering from HIV AIDS'],disease10
swollen fever sweats throat lymph chills aches ulcers muscle joint sore mouth night nodes,['You are most likely suffering from HIV AIDS'],disease10
in shortness pain of blurred vision headache chest nosebleeds the breath blood fatigue urine dizziness,['You are most likely suffering from high blood pressure'],disease11
fatigue dizziness pain headache nosebleeds blood chest breath of the urine vision blurred shortness in,['You are most likely suffering from high blood pressure'],disease11
fatigue dizziness chest blurred the pain nosebleeds shortness of urine in vision breath headache blood,['You are most likely suffering from high blood pressure'],disease11
nosebleeds blood pain shortness chest in breath vision of the dizziness headache fatigue blurred urine,['You are most likely suffering from high blood pressure'],disease11
pain shortness nosebleeds breath in vision fatigue of dizziness blurred blood headache the urine chest,['You are most likely suffering from high blood pressure'],disease11
of stiffness muscle fatigue of energy aches appetite ache fever lack loss,['You are most likely suffering from Rheumatoid Arthritis'],disease12
aches of lack of loss ache energy fatigue fever muscle stiffness appetite,['You are most likely suffering from Rheumatoid Arthritis'],disease12
of lack of loss fatigue stiffness appetite fever muscle energy aches ache,['You are most likely suffering from Rheumatoid Arthritis'],disease12
muscle appetite fever fatigue aches lack stiffness energy ache of of loss,['You are most likely suffering from Rheumatoid Arthritis'],disease12
fatigue the abdomen jaundice upper inflamed of in right pain appetite nausea loss liver,['You are most likely suffering from hepatitis B'],disease13
the inflamed loss upper of abdomen liver in pain jaundice appetite nausea right fatigue,['You are most likely suffering from hepatitis B'],disease13
loss appetite nausea inflamed right of in fatigue the liver abdomen upper pain jaundice,['You are most likely suffering from hepatitis B'],disease13
right upper loss inflamed in abdomen nausea liver the fatigue of appetite pain jaundice,['You are most likely suffering from hepatitis B'],disease13
loss liver appetite the of upper pain jaundice inflamed right nausea abdomen fatigue in,['You are most likely suffering from hepatitis B'],disease13
fever fever pain exhaustion headache muscle rash joint severe headache,['You are most likely suffering from Dengue'],disease14
headache joint muscle pain headache rash exhaustion fever severe fever,['You are most likely suffering from Dengue'],disease14
fever headache joint fever rash headache pain severe exhaustion muscle,['You are most likely suffering from Dengue'],disease14
muscle pain headache severe fever headache exhaustion fever rash joint,['You are most likely suffering from Dengue'],disease14
general weakness vomiting chills aches nausea headaches fever body,['You are most likely suffering from Malaria'],disease15
nausea vomiting headaches aches weakness general fever chills body,['You are most likely suffering from Malaria'],disease15
weakness body nausea aches chills headaches general fever vomiting,['You are most likely suffering from Malaria'],disease15
body headaches chills general aches nausea vomiting fever weakness,['You are most likely suffering from Malaria'],disease15
general red on fever the body weakness spots fever,['You are most likely suffering from Chicken Pox'],disease16
fever body on general spots red weakness the fever,['You are most likely suffering from Chicken Pox'],disease16
fever the red on general weakness fever body spots,['You are most likely suffering from Chicken Pox'],disease16
on fever general the fever spots weakness body red,['You are most likely suffering from Chicken Pox'],disease16
skin discoloration the mucous Yellow muscle Seizures membranes crying High of pitched Changes in sleepiness tone,['You are most likely suffering from jaundice'],disease17
Seizures the High pitched membranes discoloration Changes sleepiness Yellow tone of crying skin in mucous muscle,['You are most likely suffering from jaundice'],disease17
High skin membranes Seizures Yellow crying Changes in of muscle tone pitched mucous sleepiness the discoloration,['You are most likely suffering from jaundice'],disease17
muscle of tone Seizures Changes in skin sleepiness membranes crying the Yellow High mucous discoloration pitched,['You are most likely suffering from jaundice'],disease17
frequent pain watery bowel movements abdominal no inflammation signs cramping of are,['You are most likely suffering from Diarrhea'],disease18
pain signs watery of abdominal no movements frequent inflammation are cramping bowel,['You are most likely suffering from Diarrhea'],disease18
bowel cramping frequent inflammation movements watery of pain no abdominal are signs,['You are most likely suffering from Diarrhea'],disease18
are watery cramping of frequent signs no pain movements bowel inflammation abdominal,['You are most likely suffering from Diarrhea'],disease18
decrease fully glasses in with correctable clarity of vision not,['You are most likely suffering from cataract'],disease19
not correctable of with in vision decrease clarity fully glasses,['You are most likely suffering from cataract'],disease19
glasses decrease of not with vision in clarity fully correctable,['You are most likely suffering from cataract'],disease19
vision correctable in clarity of fully decrease glasses not with,['You are most likely suffering from cataract'],disease19
fully of correctable not in decrease clarity glasses with vision,['You are most likely suffering from cataract'],disease19
fatigue fever of cough chills breath shortness,['You are most likely suffering from pneumonia'],disease20
of cough fever fatigue shortness chills breath,['You are most likely suffering from pneumonia'],disease20
fever chills fatigue of cough shortness breath,['You are most likely suffering from pneumonia'],disease20
of chills fever fatigue cough shortness breath,['You are most likely suffering from pneumonia'],disease20
lower to the in of inability urinate bloating abdomen lower the abdomen discomfort painful,['You are most likely suffering from Urinary Retention'],disease21
abdomen the abdomen inability the to bloating painful lower discomfort lower urinate of in,['You are most likely suffering from Urinary Retention'],disease21
urinate the painful abdomen lower discomfort inability to in abdomen of lower bloating the,['You are most likely suffering from Urinary Retention'],disease21
painful urinate to inability lower of the abdomen the bloating lower discomfort in abdomen,['You are most likely suffering from Urinary Retention'],disease21
abdomen bloating urinate lower in lower inability the of the discomfort abdomen painful to,['You are most likely suffering from Urinary Retention'],disease21
Mood of fatigue concentration Daytime changes Anxiety Po of sleep sleepiness Lack lack energy Headaches attention,['You are most likely suffering from Insomnia'],disease22
Mood fatigue Lack Po of of changes Anxiety lack energy Headaches Daytime sleep attention concentration sleepiness,['You are most likely suffering from Insomnia'],disease22
Daytime sleepiness Lack fatigue changes sleep Anxiety lack energy concentration Headaches attention of Po of Mood,['You are most likely suffering from Insomnia'],disease22
of energy Mood Daytime Lack sleepiness Po Headaches sleep of fatigue lack Anxiety changes concentration attention,['You are most likely suffering from Insomnia'],disease22
changes Lack of of Daytime Anxiety attention concentration Mood fatigue Headaches energy Po sleepiness sleep lack,['You are most likely suffering from Insomnia'],disease22
cough fever tenderness sore sinuses pressure in pain the ears in cloudy the headache throat nasal teeth sinus discolored facial,['You are most likely suffering from Sinus Infection'],disease23
ears cloudy discolored headache teeth nasal pain cough facial in pressure sinuses the fever sore in sinus tenderness throat the,['You are most likely suffering from Sinus Infection'],disease23
nasal in tenderness sinus cough cloudy discolored sinuses sore ears pressure the pain throat in facial the teeth fever headache,['You are most likely suffering from Sinus Infection'],disease23
sinus the headache the facial sinuses fever pain in pressure nasal tenderness ears teeth sore cough in throat cloudy discolored,['You are most likely suffering from Sinus Infection'],disease23
sore the sinus cough tenderness throat the pain facial discolored fever nasal in in cloudy ears teeth sinuses pressure headache,['You are most likely suffering from Sinus Infection'],disease23
pressure in teeth facial sinuses the cloudy the discolored sinus cough sore tenderness throat fever nasal headache pain ears in,['You are most likely suffering from Sinus Infection'],disease23
aches of loss fever muscle fatigue appetite,['You are most likely suffering from hepatitis c'],disease24
fever loss appetite muscle of aches fatigue,['You are most likely suffering from hepatitis c'],disease24
of loss aches fatigue fever appetite muscle,['You are most likely suffering from hepatitis c'],disease24
aches fever of loss appetite muscle fatigue,['You are most likely suffering from hepatitis c'],disease24
