Text,label
headache joint muscle pain headache rash exhaustion fever severe fever,disease14
fever headache joint fever rash headache pain severe exhaustion muscle,disease14
muscle pain headache severe fever headache exhaustion fever rash joint,disease14
severe headache exhaustion fever fever rash joint pain headache muscle,disease14
fever rash headache joint severe muscle exhaustion fever pain headache,disease14
exhaustion joint rash severe headache headache fever muscle pain fever,disease14
muscle fever severe rash headache fever joint headache pain exhaustion,disease14
exhaustion fever pain muscle rash fever headache joint headache severe,disease14
headache severe fever exhaustion rash muscle joint pain headache fever,disease14
general weakness vomiting chills aches nausea headaches fever body,disease15
nausea vomiting headaches aches weakness general fever chills body,disease15
weakness body nausea aches chills headaches general fever vomiting,disease15
body headaches chills general aches nausea vomiting fever weakness,disease15
weakness chills general fever vomiting headaches nausea aches body,disease15
nausea aches headaches body vomiting general chills fever weakness,disease15
headaches vomiting chills general aches weakness body nausea fever,disease15
vomiting headaches general chills nausea body weakness aches fever,disease15
general vomiting fever chills aches nausea headaches weakness body,disease15
general red on fever the body weakness spots fever,disease16
fever body on general spots red weakness the fever,disease16
fever the red on general weakness fever body spots,disease16
on fever general the fever spots weakness body red,disease16
body spots the general on fever fever red weakness,disease16
general weakness fever spots the on fever red body,disease16
on spots fever fever the weakness body general red,disease16
body fever red on weakness the spots general fever,disease16
general fever the red body on weakness spots fever,disease16
skin discoloration the mucous Yellow muscle Seizures membranes crying High of pitched Changes in sleepiness tone,disease17
Seizures the High pitched membranes discoloration Changes sleepiness Yellow tone of crying skin in mucous muscle,disease17
High skin membranes Seizures Yellow crying Changes in of muscle tone pitched mucous sleepiness the discoloration,disease17
muscle of tone Seizures Changes in skin sleepiness membranes crying the Yellow High mucous discoloration pitched,disease17
Changes High membranes discoloration the Seizures tone Yellow in muscle crying mucous pitched skin of sleepiness,disease17
sleepiness skin Changes tone discoloration the in Yellow membranes muscle High Seizures crying mucous of pitched,disease17
membranes crying pitched Changes tone Yellow Seizures High skin the sleepiness in discoloration of muscle mucous,disease17
mucous Yellow muscle in High pitched sleepiness discoloration of the Changes crying skin membranes Seizures tone,disease17
membranes mucous tone Seizures of crying in Changes muscle discoloration Yellow pitched the skin sleepiness High,disease17
Changes High Yellow of muscle mucous discoloration crying in skin tone sleepiness pitched Seizures the membranes,disease17
membranes in sleepiness Seizures Changes crying tone High mucous discoloration the muscle skin of pitched Yellow,disease17
in sleepiness High the discoloration mucous tone Seizures crying of pitched muscle Yellow skin Changes membranes,disease17
discoloration sleepiness Changes Seizures skin tone crying muscle the of pitched mucous in Yellow membranes High,disease17
sleepiness pitched muscle Changes discoloration the Yellow of skin crying tone in Seizures membranes High mucous,disease17
pitched membranes in mucous sleepiness muscle discoloration Changes tone of Yellow the High skin crying Seizures,disease17
sleepiness muscle the crying pitched membranes discoloration skin in Seizures Yellow tone High mucous of Changes,disease17
frequent pain watery bowel movements abdominal no inflammation signs cramping of are,disease18
pain signs watery of abdominal no movements frequent inflammation are cramping bowel,disease18
bowel cramping frequent inflammation movements watery of pain no abdominal are signs,disease18
are watery cramping of frequent signs no pain movements bowel inflammation abdominal,disease18
bowel pain signs watery movements no frequent cramping abdominal are inflammation of,disease18
are bowel cramping abdominal signs no movements watery pain inflammation frequent of,disease18
no are cramping inflammation pain signs bowel of abdominal movements frequent watery,disease18
of inflammation signs pain movements abdominal frequent watery are no bowel cramping,disease18
movements are abdominal watery signs frequent of cramping pain bowel inflammation no,disease18
watery no abdominal pain of inflammation signs movements are cramping bowel frequent,disease18
frequent pain of bowel movements cramping abdominal inflammation no signs are watery,disease18
of watery are inflammation pain abdominal signs no cramping bowel frequent movements,disease18
decrease fully glasses in with correctable clarity of vision not,disease19
not correctable of with in vision decrease clarity fully glasses,disease19
glasses decrease of not with vision in clarity fully correctable,disease19
vision correctable in clarity of fully decrease glasses not with,disease19
fully of correctable not in decrease clarity glasses with vision,disease19
with decrease correctable vision glasses clarity fully of in not,disease19
not glasses clarity in of vision with correctable decrease fully,disease19
in correctable clarity with fully of vision decrease glasses not,disease19
not vision decrease of fully in with clarity glasses correctable,disease19
glasses of correctable not with fully clarity in decrease vision,disease19
fatigue fever of cough chills breath shortness,disease20
of cough fever fatigue shortness chills breath,disease20
fever chills fatigue of cough shortness breath,disease20
of chills fever fatigue cough shortness breath,disease20
of chills shortness breath cough fever fatigue,disease20
fatigue of shortness fever chills cough breath,disease20
cough fatigue shortness breath chills of fever,disease20
lower to the in of inability urinate bloating abdomen lower the abdomen discomfort painful,disease21
abdomen the abdomen inability the to bloating painful lower discomfort lower urinate of in,disease21
urinate the painful abdomen lower discomfort inability to in abdomen of lower bloating the,disease21
painful urinate to inability lower of the abdomen the bloating lower discomfort in abdomen,disease21
abdomen bloating urinate lower in lower inability the of the discomfort abdomen painful to,disease21
bloating abdomen painful of the discomfort lower abdomen the to in inability urinate lower,disease21
inability the abdomen urinate in abdomen lower of to bloating the discomfort painful lower,disease21
urinate the bloating to lower the of lower abdomen discomfort painful inability abdomen in,disease21
urinate abdomen painful to in inability lower discomfort bloating the abdomen lower the of,disease21
lower in discomfort bloating the urinate lower of painful the to abdomen abdomen inability,disease21
lower abdomen discomfort the in painful lower abdomen to inability of bloating urinate the,disease21
bloating abdomen abdomen the discomfort painful lower to in urinate the of inability lower,disease21
the inability of urinate bloating lower discomfort painful to in lower abdomen the abdomen,disease21
urinate the abdomen inability the discomfort abdomen to lower painful of in lower bloating,disease21
Mood of fatigue concentration Daytime changes Anxiety Po of sleep sleepiness Lack lack energy Headaches attention,disease22
Mood fatigue Lack Po of of changes Anxiety lack energy Headaches Daytime sleep attention concentration sleepiness,disease22
Daytime sleepiness Lack fatigue changes sleep Anxiety lack energy concentration Headaches attention of Po of Mood,disease22
of energy Mood Daytime Lack sleepiness Po Headaches sleep of fatigue lack Anxiety changes concentration attention,disease22
changes Lack of of Daytime Anxiety attention concentration Mood fatigue Headaches energy Po sleepiness sleep lack,disease22
